time,PM10,PM25,NO2
2/3/2019 1:00,114.168,76.6211,18.4716
2/3/2019 2:00,99.1302,65.8865,16.4128
2/3/2019 3:00,84.9147,54.8745,14.6268
2/3/2019 4:00,79.4718,52.0033,12.8137
2/3/2019 5:00,85.2981,57.4825,11.8227
2/3/2019 6:00,94.5229,63.8613,11.7907
2/3/2019 7:00,117.975,78.8359,12.5799
2/3/2019 8:00,121.798,80.9945,11.9556
2/3/2019 9:00,102.087,70.9779,12.8577
2/3/2019 10:00,73.3529,57.8651,14.2978
2/3/2019 11:00,65.6122,52.8934,35.2307
2/3/2019 12:00,48.506,40.5569,15.984
2/3/2019 13:00,31.3849,26.6073,9.9413
2/3/2019 14:00,24.8454,21.8311,7.1572
2/3/2019 15:00,21.5441,18.7675,7.8289
2/3/2019 16:00,22.9738,19.0602,8.9798
2/3/2019 17:00,25.4842,19.6529,9.6007
2/3/2019 18:00,29.3799,21.0819,12.2836
2/3/2019 19:00,48.4571,33.8055,21.9014
2/3/2019 20:00,86.9734,59.5618,28.5654
2/3/2019 21:00,80.2505,52.9308,23.6725
2/3/2019 22:00,77.7023,49.1805,22.335
2/3/2019 23:00,83.2976,51.0776,17.9465
2/4/2019 0:00,72.6765,44.3136,13.6793
2/4/2019 1:00,75.2473,48.187,12.3623
2/4/2019 2:00,61.02,38.1965,10.5635
2/4/2019 3:00,65.0265,41.4247,8.4731
2/4/2019 4:00,70.3081,46.1346,7.8175
2/4/2019 5:00,62.9727,41.9771,7.9653
2/4/2019 6:00,69.1572,46.5146,10.7877
2/4/2019 7:00,64.5627,42.5399,12.7141
2/4/2019 8:00,82.5728,54.9866,17.3274
2/4/2019 9:00,56.0477,38.2177,17.793
2/4/2019 10:00,64.1989,47.1559,16.0538
2/4/2019 11:00,58.3853,41.6334,13.1406
2/4/2019 12:00,49.538,33.4706,13.1704
2/4/2019 13:00,46.0848,28.933,16.5869
2/4/2019 14:00,52.6601,31.4408,22.4102
2/4/2019 15:00,44.7469,27.8045,15.5803
2/4/2019 16:00,38.785,24.229,11.8877
2/4/2019 17:00,36.4839,23.0515,10.0931
2/4/2019 18:00,34.3476,21.1535,12.3851
2/4/2019 19:00,33.5059,20.1155,10.1577
2/4/2019 20:00,32.3351,19.5326,10.4725
2/4/2019 21:00,30.4538,17.8908,8.9577
2/4/2019 22:00,26.953,15.9518,6.5579
2/4/2019 23:00,25.9798,15.6135,7.4662
2/5/2019 0:00,25.1139,17.5438,6.9328
2/5/2019 1:00,24.1483,17.1051,6.5468
2/5/2019 2:00,24.0442,17.4135,5.7635
2/5/2019 3:00,25.3101,18.6253,5.4938
2/5/2019 4:00,27.7281,19.8414,5.5175
2/5/2019 5:00,27.574,19.7282,5.4649
2/5/2019 6:00,29.7627,21.1101,6.4529
2/5/2019 7:00,31.4253,22.1591,9.1241
2/5/2019 8:00,38.8043,27.7683,12.1098
2/5/2019 9:00,37.9528,27.3131,12.2449
2/5/2019 10:00,32.79,23.8942,8.1737
2/5/2019 11:00,31.94,24.7124,8.8391
2/5/2019 12:00,30.0769,24.5161,7.6858
2/5/2019 13:00,29.1127,24.8905,6.5973
2/5/2019 14:00,30.3925,26.9837,6.743
2/5/2019 15:00,32.5547,28.2829,8.4251
2/5/2019 16:00,37.5174,30.5043,8.9406
2/5/2019 17:00,44.858,33.8326,10.1812
2/5/2019 18:00,49.1708,34.7441,10.2808
2/5/2019 19:00,49.8699,33.58,14.9106
2/5/2019 20:00,54.8346,35.8091,18.6903
2/5/2019 21:00,47.0257,30.0031,14.3516
2/5/2019 22:00,39.4078,25.4257,9.7762
2/5/2019 23:00,38.2489,24.3544,9.3227
